,city_name,group
452,Saint-Denis-en-Bugey,4
453,Saint-Didier-d'Aussiat,3
454,Saint-Didier-de-Formans,3
455,Saint-Didier-de-Formans,3
456,Saint-Didier-sur-Chalaronne,3
457,Saint-Didier-sur-Chalaronne,3
458,Saint-Eloi,3
459,Saint-Etienne-du-Bois,3
460,Saint-Etienne-du-Bois,3
461,Saint-Etienne-sur-Chalaronne,4
462,Saint-Etienne-sur-Reyssouze,4
463,Sainte-Euphémie,3
464,Saint-Genis-Pouilly,0
465,Saint-Genis-Pouilly,1
466,Saint-Genis-Pouilly,0
467,Saint-Genis-Pouilly,0
468,Saint-Genis-sur-Menthon,3
469,Saint-Georges-sur-Renon,4
470,Saint-Germain-de-Joux,3
471,Saint-Germain-les-Paroisses,3
472,Saint-Germain-sur-Renon,3
473,Saint-Jean-de-Gonville,1
474,Saint-Jean-de-Niost,3
475,Saint-Jean-de-Thurigneux,3
476,Saint-Jean-le-Vieux,3
477,Saint-Jean-le-Vieux,4
478,Saint-Jean-sur-Reyssouze,3
479,Saint-Jean-sur-Veyle,3
480,Sainte-Julie,4
481,Saint-Julien-sur-Reyssouze,3
482,Saint-Julien-sur-Veyle,3
483,Saint-Just,3
484,Saint-Laurent-sur-Saône,0
485,Saint-Marcel,4
486,Saint-Martin-de-Bavel,0
487,Saint-Martin-du-Frêne,3
488,Saint-Martin-du-Mont,3
489,Saint-Martin-le-Châtel,3
490,Saint-Maurice-de-Beynost,0
491,Saint-Maurice-de-Beynost,0
492,Saint-Maurice-de-Gourdans,3
493,Saint-Maurice-de-Gourdans,4
494,Saint-Maurice-de-Rémens,4
495,Saint-Nizier-le-Bouchoux,3
496,Saint-Nizier-le-Désert,4
497,Sainte-Olive,3
498,Saint-Paul-de-Varax,4
499,Saint-Rambert-en-Bugey,2
500,Saint-Rambert-en-Bugey,4
501,Saint-Rémy,3
502,Saint-Sorlin-en-Bugey,3
503,Saint-Sulpice,4
504,Saint-Trivier-de-Courtes,3
505,Saint-Trivier-sur-Moignans,4
506,Saint-Trivier-sur-Moignans,3
507,Saint-Vulbas,4
508,Salavre,3
509,Samognat,3
510,Sandrans,3
511,Sault-Brénaz,4
512,Sauverny,1
513,Savigneux,3
514,Ségny,1
515,Seillonnaz,0
516,Sergy,1
517,Sermoyer,4
518,Serrières-de-Briord,4
519,Serrières-sur-Ain,4
520,Servas,4
521,Servignat,3
522,Seyssel,0
523,Simandre-sur-Suran,4
524,Sonthonnax-la-Montagne,3
525,Souclin,4
526,Sulignat,4
527,Surjoux,4
528,Sutrieu,3
529,Talissieu,4
530,Tenay,4
531,Thézillieu,3
532,Thil,3
533,Thoiry,0
534,Thoiry,1
535,Thoiry,1
536,Thoissey,4
537,Torcieu,4
538,Tossiat,3
539,Toussieux,3
540,Tramoyes,3
541,La Tranclière,3
542,Val-Revermont,3
543,Val-Revermont,4
544,Val-Revermont,4
545,Trévoux,0
546,Trévoux,3
547,Trévoux,0
548,Trévoux,0
549,Valeins,3
550,Vandeins,4
551,Varambon,4
552,Vaux-en-Bugey,0
553,Verjon,3
554,Vernoux,4
555,Versailleux,3
556,Versonnex,0
557,Vesancy,1
558,Vescours,4
559,Vésines,3
560,Vieu-d'Izenave,3
561,Vieu,0
562,Villars-les-Dombes,3
563,Villars-les-Dombes,3
564,Villars-les-Dombes,3
565,Villars-les-Dombes,3
566,Villebois,4
567,Villemotier,3
