,insee_code,group
794,02179,4
795,02180,4
796,02181,4
797,02182,4
798,02183,4
799,02184,4
800,02185,4
801,02186,3
802,02187,3
803,02188,4
804,02189,4
805,02190,4
806,02191,4
807,02192,4
808,02193,4
809,02194,4
810,02195,4
811,02196,4
812,02197,4
813,02198,4
814,02199,4
815,02200,4
816,02201,4
817,02203,4
818,02204,3
819,02205,4
820,02206,4
821,02207,3
822,02208,4
823,02209,4
824,02210,4
825,02211,4
826,02212,4
827,02213,4
828,02214,4
829,02215,4
830,02216,4
831,02217,4
832,02218,4
833,02219,0
834,02220,4
835,02221,4
836,02222,3
837,02223,4
838,02224,4
839,02225,4
840,02226,4
841,02227,4
842,02228,4
843,02229,0
844,02230,3
845,02231,4
846,02232,4
847,02233,4
848,02234,3
849,02235,4
850,02236,4
851,02237,4
852,02238,4
853,02239,4
854,02240,3
855,02241,3
856,02242,4
857,02243,4
858,02243,4
859,02244,4
860,02245,4
861,02246,4
862,02248,4
863,02249,3
864,02250,4
865,02251,3
866,02252,4
867,02253,4
868,02254,0
869,02255,4
870,02256,3
871,02257,3
872,02258,4
873,02259,3
874,02260,4
875,02261,4
876,02262,4
877,02263,4
878,02264,4
879,02265,4
880,02266,3
881,02267,4
882,02268,4
883,02269,3
884,02270,4
885,02271,3
886,02272,3
887,02273,4
888,02274,4
889,02275,4
890,02276,3
891,02277,4
892,02278,3
893,02279,3
894,02280,4
895,02281,4
896,02282,4
897,02283,4
898,02284,3
899,02286,4
900,02287,3
901,02288,4
902,02289,4
903,02290,3
904,02290,4
905,02290,4
906,02290,4
907,02291,4
908,02292,4
909,02293,4
910,02294,3
911,02295,4
912,02296,4
913,02297,4
914,02298,4
915,02299,4
916,02301,4
917,02302,3
918,02303,1
919,02304,4
920,02305,4
921,02305,4
922,02305,4
923,02306,4
924,02307,4
925,02308,4
926,02308,4
927,02309,4
928,02310,4
929,02311,3
930,02312,4
931,02313,3
932,02313,4
933,02315,4
934,02316,3
935,02317,3
936,02318,4
937,02319,4
938,02320,4
939,02321,3
940,02322,4
941,02323,4
942,02324,4
943,02326,3
944,02327,3
945,02328,4
946,02329,4
947,02330,3
948,02331,4
949,02332,4
950,02333,4
951,02334,4
952,02334,4
953,02334,4
954,02335,4
955,02336,4
956,02336,4
957,02337,4
958,02338,4
959,02339,4
960,02340,4
961,02340,4
962,02340,4
963,02340,4
964,02341,4
965,02342,4
966,02343,3
967,02345,3
968,02346,4
969,02347,4
970,02349,3
971,02350,4
972,02351,3
973,02352,4
974,02353,4
975,02354,4
976,02355,4
977,02356,4
978,02357,3
979,02358,4
980,02359,4
981,02360,3
982,02360,4
983,02361,4
984,02361,4
985,02361,4
986,02362,4
987,02363,4
988,02364,3
989,02366,4
990,02367,4
991,02368,4
992,02369,4
993,02370,4
994,02371,4
995,02372,4
996,02373,4
997,02374,4
998,02375,4
999,02376,4
1000,02377,3
1001,02378,4
1002,02379,3
1003,02380,3
1004,02381,4
1005,02381,4
1006,02381,2
1007,02381,4
1008,02381,4
1009,02381,4
1010,02381,4
1011,02382,4
1012,02383,3
1013,02384,3
1014,02385,4
1015,02386,4
1016,02387,3
1017,02388,4
1018,02389,3
1019,02390,4
1020,02391,3
1021,02392,4
1022,02393,3
1023,02395,4
1024,02396,3
1025,02397,4
1026,02398,4
1027,02399,4
1028,02400,4
1029,02401,4
1030,02402,4
1031,02403,4
1032,02404,4
1033,02405,4
1034,02406,3
1035,02407,4
1036,02408,0
1037,02408,3
1038,02408,0
1039,02408,4
1040,02408,4
1041,02408,2
1042,02408,2
1043,02408,0
1044,02408,4
1045,02408,4
1046,02408,4
1047,02408,0
1048,02408,4
1049,02408,4
1050,02408,4
1051,02408,0
1052,02408,4
1053,02408,4
1054,02408,0
1055,02409,4
1056,02410,0
1057,02411,4
1058,02412,4
1059,02413,4
1060,02414,3
1061,02415,4
1062,02416,4
1063,02417,4
1064,02418,3
1065,02419,3
1066,02420,4
1067,02421,4
1068,02422,4
1069,02423,4
1070,02424,3
1071,02425,4
1072,02426,4
1073,02427,4
1074,02428,4
1075,02429,4
1076,02430,4
1077,02431,4
1078,02432,4
1079,02433,3
1080,02434,3
1081,02435,4
1082,02438,3
1083,02439,3
1084,02439,4
1085,02439,3
1086,02439,4
1087,02439,4
1088,02439,4
1089,02439,4
1090,02440,3
1091,02441,3
1092,02442,4
1093,02443,3
1094,02444,4
1095,02445,3
1096,02446,4
1097,02447,3
1098,02448,4
1099,02449,3
1100,02450,4
1101,02451,4
1102,02452,3
1103,02453,4
1104,02454,4
1105,02455,4
1106,02456,4
1107,02457,4
1108,02458,4
1109,02458,4
1110,02458,4
1111,02458,3
1112,02459,1
1113,02460,4
1114,02461,4
1115,02462,4
1116,02463,4
1117,02464,4
1118,02465,4
1119,02466,4
1120,02467,3
1121,02468,4
1122,02468,4
1123,02469,4
1124,02470,4
1125,02471,3
1126,02472,4
1127,02473,4
1128,02474,4
1129,02475,4
1130,02476,4
1131,02477,3
1132,02478,4
1133,02480,4
1134,02481,3
1135,02482,4
1136,02483,3
1137,02484,4
1138,02485,4
1139,02486,4
1140,02487,4
1141,02488,4
1142,02489,4
1143,02490,3
1144,02491,4
1145,02492,4
1146,02493,4
1147,02494,4
1148,02495,4
1149,02496,4
1150,02497,4
1151,02498,4
1152,02499,3
1153,02500,4
1154,02501,3
1155,02502,4
1156,02502,4
1157,02503,4
1158,02504,4
1159,02505,4
1160,02506,3
1161,02507,4
1162,02508,3
1163,02509,4
1164,02510,0
1165,02511,4
1166,02512,4
1167,02513,4
1168,02514,4
1169,02515,4
1170,02516,3
1171,02517,4
1172,02518,4
1173,02519,4
1174,02520,4
1175,02521,4
1176,02522,4
1177,02523,4
1178,02524,3
1179,02525,3
1180,02526,4
1181,02527,4
1182,02528,4
1183,02529,4
1184,02530,4
1185,02531,4
1186,02532,4
1187,02533,3
1188,02534,1
1189,02535,3
1190,02536,3
1191,02537,4
1192,02538,4
1193,02539,4
1194,02540,4
1195,02541,4
1196,02542,4
1197,02543,4
1198,02544,4
1199,02545,3
1200,02546,4
1201,02547,3
1202,02548,4
1203,02549,3
1204,02549,4
1205,02550,4
1206,02551,4
1207,02552,3
1208,02553,4
1209,02554,3
1210,02555,4
1211,02555,4
1212,02556,3
1213,02557,2
1214,02558,4
1215,02558,4
1216,02559,4
1217,02560,3
1218,02561,3
1219,02562,4
1220,02563,4
1221,02564,4
1222,02565,4
1223,02566,4
1224,02567,4
1225,02568,3
1226,02569,4
1227,02570,4
1228,02571,3
1229,02572,4
1230,02573,1
1231,02574,4
1232,02574,4
1233,02575,4
1234,02576,4
1235,02577,3
1236,02578,4
1237,02579,3
1238,02580,4
1239,02581,4
1240,02582,3
1241,02583,4
1242,02584,4
1243,02585,4
1244,02586,3
1245,02587,4
1246,02588,3
1247,02589,4
1248,02590,3
1249,02591,4
1250,02592,3
1251,02593,3
1252,02594,4
1253,02595,3
1254,02596,4
1255,02598,4
1256,02599,4
1257,02600,4
1258,02601,4
1259,02602,4
1260,02604,3
1261,02605,4
1262,02606,3
1263,02607,3
1264,02608,4
1265,02609,1
1266,02610,3
1267,02612,4
1268,02613,4
1269,02614,3
1270,02615,3
1271,02616,4
1272,02617,4
1273,02618,4
1274,02619,4
1275,02620,4
1276,02621,3
1277,02622,3
1278,02623,3
1279,02624,4
1280,02625,4
1281,02626,4
1282,02627,4
1283,02628,3
1284,02629,3
1285,02631,4
1286,02632,3
1287,02633,3
1288,02634,3
1289,02635,4
1290,02636,3
1291,02637,3
1292,02638,4
1293,02639,4
1294,02640,3
1295,02641,4
1296,02642,4
1297,02643,4
1298,02644,4
1299,02645,4
1300,02647,3
1301,02648,4
1302,02648,4
1303,02649,4
1304,02650,3
1305,02651,4
1306,02652,4
1307,02653,4
1308,02654,3
1309,02655,4
1310,02656,3
1311,02657,4
1312,02658,3
1313,02659,3
1314,02660,3
1315,02661,3
1316,02662,4
1317,02663,3
1318,02664,4
1319,02665,4
1320,02666,4
1321,02667,4
1322,02668,4
1323,02670,4
1324,02671,4
1325,02672,4
1326,02673,4
1327,02674,4
1328,02675,4
1329,02676,4
1330,02676,3
1331,02676,4
1332,02677,4
1333,02678,4
1334,02679,4
1335,02680,4
1336,02681,3
1337,02682,4
1338,02683,4
1339,02684,4
1340,02684,4
1341,02684,4
1342,02684,4
1343,02685,4
1344,02686,4
1345,02687,3
1346,02688,3
1347,02689,3
1348,02690,3
1349,02691,1
1350,02691,1
1351,02691,1
1352,02691,3
1353,02691,3
1354,02691,1
1355,02691,4
1356,02691,4
1357,02691,4
1358,02691,4
1359,02691,4
1360,02691,2
1361,02691,4
1362,02691,0
1363,02691,3
1364,02691,0
1365,02691,4
1366,02691,4
1367,02691,1
1368,02691,0
1369,02691,2
1370,02691,4
1371,02691,4
1372,02691,2
1373,02691,4
1374,02691,4
1375,02691,2
1376,02691,3
1377,02691,4
1378,02691,4
1379,02691,4
1380,02691,4
1381,02691,4
1382,02691,4
1383,02691,4
1384,02691,4
1385,02691,4
1386,02691,4
1387,02691,4
1388,02693,3
1389,02694,4
1390,02695,4
1391,02696,0
1392,02697,4
1393,02698,4
1394,02699,4
1395,02701,4
1396,02702,4
1397,02703,4
1398,02704,4
1399,02705,4
1400,02706,4
1401,02707,4
1402,02708,3
1403,02709,4
1404,02710,4
1405,02711,4
1406,02712,4
1407,02713,4
1408,02714,4
1409,02715,4
1410,02716,4
1411,02717,4
1412,02718,0
1413,02719,4
1414,02719,4
1415,02720,4
1416,02720,4
1417,02721,4
1418,02722,3
1419,02722,4
1420,02722,4
1421,02722,4
1422,02722,4
1423,02722,4
1424,02722,4
1425,02722,1
1426,02722,3
1427,02722,0
1428,02722,3
1429,02722,3
1430,02722,2
1431,02722,1
1432,02722,1
1433,02722,4
1434,02722,4
1435,02722,2
1436,02722,2
1437,02723,3
1438,02724,4
1439,02725,4
1440,02726,4
1441,02727,4
1442,02728,4
1443,02729,3
1444,02730,4
1445,02731,3
1446,02732,3
1447,02733,4
1448,02734,3
1449,02735,3
1450,02736,4
1451,02737,4
1452,02738,2
1453,02738,4
1454,02738,4
1455,02738,4
1456,02738,4
1457,02738,4
1458,02738,4
1459,02738,4
1460,02738,4
1461,02738,4
1462,02738,4
1463,02739,4
1464,02740,3
1465,02741,4
1466,02742,4
1467,02743,4
1468,02744,4
1469,02745,3
1470,02746,4
1471,02747,3
1472,02748,3
1473,02749,4
1474,02750,4
1475,02751,4
1476,02752,4
1477,02753,4
1478,02754,3
1479,02755,4
1480,02756,3
1481,02757,4
1482,02758,4
1483,02758,4
1484,02759,4
1485,02760,4
1486,02761,4
1487,02762,4
1488,02763,4
1489,02764,0
1490,02765,3
1491,02766,4
1492,02767,4
1493,02768,4
1494,02769,4
1495,02770,4
1496,02772,4
1497,02773,4
1498,02774,4
1499,02775,4
1500,02776,4
1501,02777,3
1502,02778,4
1503,02779,4
1504,02780,4
1505,02781,4
1506,02782,4
1507,02783,4
1508,02784,4
1509,02785,3
1510,02786,4
1511,02787,4
1512,02788,4
1513,02789,4
1514,02790,4
1515,02791,0
1516,02792,4
1517,02793,4
1518,02794,3
1519,02795,4
1520,02796,4
1521,02797,4
1522,02798,4
1523,02799,4
1524,02800,4
1525,02801,3
1526,02802,4
1527,02803,4
1528,02804,4
1529,02805,4
1530,02805,4
1531,02806,4
1532,02807,3
1533,02808,4
1534,02809,1
1535,02810,3
1536,02810,4
1537,02810,4
1538,02810,4
1539,02810,4
1540,02810,4
1541,02810,4
1542,02810,4
1543,02812,3
1544,02813,3
1545,02814,3
1546,02815,3
1547,02816,4
1548,02817,4
1549,02818,4
1550,02819,4
1551,02820,4
1552,02820,4
1553,02821,3
1554,02822,4
1555,02823,3
1556,02824,3
1557,02826,3
1558,02827,4
1559,02828,3
1560,02829,3
1561,02830,4
1562,02831,4
1563,02832,4
1564,02833,4
1565,02834,4
1566,03001,3
1567,03001,4
1568,03001,3
1569,03002,0
1570,03003,3
1571,03004,3
1572,03005,3
1573,03006,4
1574,03007,0
1575,03008,3
1576,03009,4
1577,03010,0
1578,03011,3
1579,03012,0
1580,03013,0
1581,03013,0
1582,03013,0
1583,03013,0
1584,03014,0
1585,03015,3
1586,03016,3
1587,03017,3
1588,03018,4
1589,03019,3
1590,03020,0
1591,03021,0
1592,03022,0
1593,03023,1
1594,03023,1
1595,03023,1
1596,03023,1
1597,03023,3
1598,03023,3
1599,03023,0
1600,03024,4
1601,03025,3
1602,03026,3
1603,03027,4
1604,03028,4
1605,03029,3
1606,03030,4
1607,03031,0
1608,03032,4
1609,03033,0
1610,03034,4
1611,03035,0
1612,03036,0
1613,03036,0
1614,03037,4
1615,03038,3
1616,03039,3
1617,03040,0
1618,03041,3
1619,03042,3
1620,03043,3
1621,03044,3
1622,03044,3
1623,03045,3
1624,03046,0
1625,03047,4
1626,03048,0
1627,03049,3
1628,03050,3
1629,03051,4
1630,03052,0
1631,03053,3
1632,03054,3
1633,03055,0
1634,03056,0
1635,03057,3
1636,03058,0
1637,03059,3
1638,03060,3
1639,03061,3
1640,03062,1
1641,03063,4
1642,03064,4
1643,03065,0
1644,03066,3
1645,03067,3
1646,03068,4
1647,03069,0
1648,03070,3
1649,03071,0
1650,03072,0
1651,03073,0
1652,03074,1
1653,03075,4
1654,03076,3
1655,03077,4
1656,03078,0
1657,03079,3
1658,03080,3
1659,03081,0
1660,03082,2
1661,03082,0
1662,03082,2
1663,03082,0
1664,03082,0
1665,03083,3
1666,03084,0
1667,03084,0
1668,03085,3
1669,03086,4
1670,03087,4
1671,03088,4
1672,03089,0
1673,03090,4
1674,03091,4
1675,03092,3
1676,03093,3
1677,03094,3
1678,03094,0
1679,03094,3
1680,03094,0
1681,03095,0
1682,03095,0
1683,03095,0
1684,03095,0
1685,03095,0
1686,03095,3
1687,03095,0
